Date,Cashflow
2024-01-31,53136.83334536459
2024-02-29,166117.92245292064
2024-03-31,68122.91305803739
2024-04-30,113649.38415179525
2024-05-31,187758.0301553072
2024-06-30,76268.1739584023
2024-07-31,122669.38006546312
2024-08-31,132961.990048312
2024-09-30,58334.607627995065
2024-10-31,167407.53503359808
2024-11-30,171605.3069930884
2024-12-31,117630.55309733274
2025-01-31,176324.51865784018
2025-02-28,54983.693268000876
2025-03-31,142114.58648611786
2025-04-30,145465.75164493592
2025-05-31,140501.88816605648
2025-06-30,71471.47485890026
2025-07-31,161313.2784409395
2025-08-31,68910.65058680205
2025-09-30,179093.92546930222
2025-10-31,123989.99747704293
2025-11-30,176896.04756060566
2025-12-31,176838.85576100703
